DateTime,smell_description,zipcode,smell_1,smell_2,smell_3
2016-11-07 14:00:00+00:00,Rotten eggs,15120,egg,,
2016-11-07 16:00:00+00:00,Sewage ,15222,sewage,,
2016-11-07 17:00:00+00:00,Diesel emissions from construction vehicles,15219,diesel,,
2016-11-07 17:00:00+00:00,Gas?,15238,gas,,
2016-11-07 18:00:00+00:00,Diesel pollution from buses,15222,diesel,,
2016-11-07 18:00:00+00:00,Industrial emissions ,15219,industrial,,
2016-11-07 18:00:00+00:00,Massive dust cloud from construction vehivle,15219,,,
2016-11-07 18:00:00+00:00,Industrial ,15203,industrial,,
2016-11-07 21:00:00+00:00,Industrial emissions ,15144,industrial,,
2016-11-08 00:00:00+00:00,Wood smoke,15206,smoke,,
2016-11-08 02:00:00+00:00,horribly stinky tonight! VOC's just jumped above 800ppb on my Awair. Strong sulfur smell.,15217,sulfur,,
2016-11-08 02:00:00+00:00,Wood smoke ,15238,smoke,,
2016-11-08 03:00:00+00:00,Smells like sulfer and burning. Has gotten worse in the last few hours.,15228,burning,,
2016-11-08 11:00:00+00:00,Industrial / Coal / Coke,15116,coke,coal,industrial
2016-11-08 11:00:00+00:00,Industrial ,15120,industrial,,
2016-11-08 11:00:00+00:00,"industrial sooty, smoky",15217,industrial,,
2016-11-08 13:00:00+00:00,Sulphur,15203,sulfur,,
2016-11-08 13:00:00+00:00,Sulfur,15120,sulfur,,
2016-11-08 13:00:00+00:00,Auto exhaust,15201,,,
2016-11-08 13:00:00+00:00,Industrial & lingering exhaust fumes,15217,industrial,,
2016-11-08 13:00:00+00:00,Industrial ,15090,industrial,,
2016-11-08 14:00:00+00:00,Smoke,15213,smoke,,
2016-11-08 14:00:00+00:00,Industrial. Smoke. Sulfur. ,15213,smoke,sulfur,industrial
2016-11-08 14:00:00+00:00,Rubbery industrial,15208,industrial,,
2016-11-08 14:00:00+00:00,Industrial ,15219,industrial,,
2016-11-08 14:00:00+00:00,Industrial ,15221,industrial,,
2016-11-08 14:00:00+00:00,"Burning coal, co airport wind S 8mph",15218,coal,,
2016-11-08 14:00:00+00:00,Sulfur and chemical smell.,15206,sulfur,chemical,
2016-11-08 14:00:00+00:00,Industrial / Coal / Coke / Diesel,15044,coke,coal,industrial
2016-11-08 14:00:00+00:00,Heavy sulfur metal. I can also smell it inside Target store. Industrial smell. Acrid. ,15206,industrial,acrid,sulfur
2016-11-08 15:00:00+00:00,"sulfer, eggs",15221,egg,,
2016-11-08 15:00:00+00:00,Industrial sulfur and smoke,15213,smoke,sulfur,industrial
2016-11-09 12:00:00+00:00,Industrial or burning rubber smell ,15144,industrial,,
2016-11-09 17:00:00+00:00,burning metal ,15201,,,
2016-11-09 22:00:00+00:00,"Industrial, McConway & Torley, like burning plastic",15201,industrial,,
2016-11-10 02:00:00+00:00,"Industrial, burning rubber smell",15201,industrial,,
2016-11-10 20:00:00+00:00,Sulfur hot metal,15065,sulfur,,
2016-11-11 18:00:00+00:00,Industrial ,15201,industrial,,
2016-11-11 18:00:00+00:00,Industrial; from Mcconway torley ,15201,industrial,,
2016-11-11 18:00:00+00:00,Industrial metallic,15201,industrial,,
2016-11-11 20:00:00+00:00,Rubber or asphalt ,15144,,,
2016-11-11 22:00:00+00:00,Burning metal,15201,,,
2016-11-12 22:00:00+00:00,"Visibe dust in air, burning ",15213,,,
2016-11-13 04:00:00+00:00,sewage or fertilizer,15217,sewage,,
2016-11-13 05:00:00+00:00,Wood smoke,15217,smoke,,
2016-11-13 07:00:00+00:00,"Sooty sulphur smell, has entered house, winds are SSW last 3 hours. Particle counts high.",15218,sulfur,,
2016-11-13 13:00:00+00:00,Industrial coal smoke smell.,15206,smoke,coal,industrial
2016-11-13 13:00:00+00:00,industrial,15206,industrial,,
2016-11-13 14:00:00+00:00,Steel mill,15218,,,
2016-11-13 19:00:00+00:00,"Honestly, it smells like brewed cancer!  ",15133,,,
2016-11-14 03:00:00+00:00,Wood smoke.,15202,smoke,,
