DateTime,smell_1,smell_2,smell_3,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH,3.feed_5975.PM2_5
2017-07-16 14:00:00+00:00,,,,516.0,8.8,12.8,4.0,20.0,43.5,227.0,2.7,20.0
2017-07-17 12:00:00+00:00,sulfur,,,1677.0,18.8,43.9,25.0,21.0,29.6,208.0,1.4,21.0
2017-07-19 12:00:00+00:00,sulfur,,,1246.8,17.4,25.8,8.3,32.0,21.8,180.0,1.9,32.0
2017-07-21 03:00:00+00:00,sulfur,,,203.9,9.5,10.1,0.6,14.0,15.9,198.0,3.4,14.0
2017-07-26 02:00:00+00:00,egg,,,926.6,17.2,22.6,5.3,11.0,39.2,157.0,0.8,11.0
2017-07-27 15:00:00+00:00,industrial,,,799.2,16.7,22.1,5.3,20.0,29.4,204.0,1.8,20.0
2017-07-28 21:00:00+00:00,sulfur,,,791.9,8.9,15.5,6.6,23.0,52.9,57.0,2.7,23.0
2017-08-01 12:00:00+00:00,industrial,diesel,sulfur,5871.8,13.3,36.1,22.8,42.0,19.2,185.0,1.0,42.0
2017-08-01 12:00:00+00:00,industrial,sulfur,,5871.8,13.3,36.1,22.8,42.0,19.2,185.0,1.0,42.0
2017-08-01 14:00:00+00:00,diesel,burning,sulfur,1968.9,24.3,57.5,33.1,36.0,42.1,259.0,1.8,36.0
2017-08-02 01:00:00+00:00,smoke,industrial,,1147.4,25.2,26.5,1.3,22.0,62.9,197.0,0.5,22.0
2017-08-02 13:00:00+00:00,smoke,,,2041.5,17.5,31.4,13.8,38.0,18.9,195.0,1.5,38.0
2017-08-02 14:00:00+00:00,sulfur,industrial,,898.4,16.0,22.5,6.4,30.0,27.4,200.0,2.6,30.0
2017-08-02 19:00:00+00:00,coke,sulfur,,362.8,5.0,6.0,0.9,19.0,25.9,226.0,5.6,19.0
2017-08-03 12:00:00+00:00,sulfur,industrial,,919.3,15.7,20.2,4.4,24.0,16.8,192.0,3.2,24.0
2017-08-04 14:00:00+00:00,sulfur,,,581.7,11.3,15.2,3.8,12.0,17.4,202.0,6.7,12.0
2017-08-04 15:00:00+00:00,coke,sulfur,,252.8,6.0,7.3,1.2,10.0,19.2,198.0,5.9,10.0
2017-08-06 13:00:00+00:00,coke,,,1593.3,9.7,15.6,5.9,16.0,38.3,191.0,2.1,16.0
2017-08-06 20:00:00+00:00,industrial,burning,sulfur,691.3,9.0,11.9,2.8,10.0,49.7,194.0,1.9,10.0
2017-08-07 09:00:00+00:00,smoke,,,288.6,6.7,7.4,0.6,15.0,56.5,76.0,0.7,15.0
2017-08-11 14:00:00+00:00,industrial,,,702.2,12.1,20.0,7.8,16.0,19.4,201.0,4.0,16.0
2017-08-12 03:00:00+00:00,,,,268.0,6.9,7.1,0.1,14.0,45.5,131.0,0.9,14.0
2017-08-12 04:00:00+00:00,smoke,sulfur,industrial,2246.6,14.4,15.1,0.6,19.0,41.6,125.0,1.3,19.0
2017-08-12 07:00:00+00:00,,,,-1.0,20.4,21.3,0.8,33.0,35.6,180.0,1.7,33.0
2017-08-12 18:00:00+00:00,smoke,,,553.0,7.0,11.0,3.9,14.0,40.7,296.0,4.9,14.0
2017-08-13 03:00:00+00:00,egg,woodsmoke,,1010.5,18.4,24.4,6.0,9.0,55.9,309.0,1.0,9.0
2017-08-14 22:00:00+00:00,burning,industrial,,216.3,4.2,4.7,0.5,9.0,18.3,207.0,4.9,9.0
2017-08-20 14:00:00+00:00,coke,sulfur,,316.7,5.2,8.2,2.9,13.0,22.3,213.0,1.6,13.0
2017-08-24 09:00:00+00:00,industrial,smoke,sulfur,496.0,14.7,17.2,2.5,15.0,28.2,134.0,0.9,15.0
2017-08-27 03:00:00+00:00,smoke,,,264.7,4.3,4.5,0.1,14.0,39.1,93.0,0.9,14.0
2017-08-30 15:00:00+00:00,,,,699.4,15.2,32.1,16.8,14.0,28.2,216.0,3.5,14.0
2017-09-05 04:00:00+00:00,industrial,sulfur,gas,188.8,2.9,3.0,0.1,14.0,18.4,204.0,7.4,14.0
2017-09-05 14:00:00+00:00,industrial,,,382.4,14.1,24.9,10.7,37.0,20.6,207.0,5.0,37.0
2017-09-06 01:00:00+00:00,,,,537.2,8.5,12.2,3.6,26.0,61.7,67.0,1.6,26.0
2017-09-15 02:00:00+00:00,industrial,,,458.9,9.5,11.0,1.5,8.0,36.4,155.0,1.5,8.0
2017-09-15 04:00:00+00:00,industrial,sulfur,,1552.4,11.7,13.1,1.4,11.0,51.7,149.0,0.8,11.0
2017-09-18 04:00:00+00:00,woodsmoke,,,1098.6,19.9,24.3,4.4,21.0,29.4,85.0,0.7,21.0
2017-09-18 15:00:00+00:00,industrial,,,282.2,10.9,17.8,6.8,17.0,19.9,218.0,2.6,17.0
2017-09-20 12:00:00+00:00,burning,industrial,,567.4,13.0,25.8,12.8,13.0,42.2,140.0,0.7,13.0
2017-09-21 04:00:00+00:00,smoke,sulfur,,1361.6,29.2,51.2,22.0,29.0,73.0,91.0,0.5,29.0
2017-09-21 14:00:00+00:00,industrial,egg,sulfur,1260.5,16.8,48.5,31.7,20.0,31.6,278.0,1.8,20.0
2017-09-24 04:00:00+00:00,woodsmoke,,,2146.9,33.0,51.6,18.6,10.0,60.8,245.0,0.9,10.0
2017-09-27 10:00:00+00:00,,,,1922.3,15.2,17.8,2.5,33.0,27.2,119.0,0.5,33.0
2017-09-27 13:00:00+00:00,acrid,industrial,,1919.7,17.7,35.6,17.8,30.0,22.9,192.0,1.7,30.0
2017-09-27 14:00:00+00:00,industrial,,,2379.9,26.4,49.6,23.2,35.0,16.9,193.0,2.4,35.0
2017-09-29 13:00:00+00:00,sulfur,,,1258.4,14.4,41.7,27.3,16.0,16.8,185.0,1.2,16.0
2017-09-30 00:00:00+00:00,gas,,,747.7,11.0,20.3,9.2,11.0,40.3,308.0,2.1,11.0
2017-10-04 10:00:00+00:00,coke,sulfur,,614.3,16.6,20.9,4.3,18.0,37.7,171.0,1.5,18.0
2017-10-04 11:00:00+00:00,sulfur,industrial,,1339.6,24.9,28.5,3.6,27.0,21.8,187.0,2.4,27.0
2017-10-05 10:00:00+00:00,egg,sulfur,,261.8,11.6,12.1,0.4,13.0,41.2,169.0,1.7,13.0
2017-10-07 01:00:00+00:00,woodsmoke,,,296.7,12.9,13.7,0.7,20.0,41.0,91.0,0.8,20.0
2017-10-15 02:00:00+00:00,,,,257.9,5.1,5.3,0.1,10.0,41.2,100.0,0.7,10.0
2017-10-17 13:00:00+00:00,coke,industrial,,1340.3,10.9,43.9,32.9,23.0,26.0,178.0,1.2,23.0
2017-10-17 14:00:00+00:00,sulfur,,,1210.4,16.9,47.6,30.6,30.0,16.0,193.0,3.4,30.0
2017-10-18 23:00:00+00:00,diesel,,,1059.5,21.4,27.9,6.4,0.0,51.1,239.0,1.2,0.0
2017-10-19 11:00:00+00:00,sulfur,,,775.0,23.9,43.0,19.1,23.0,46.7,156.0,1.6,23.0
2017-10-27 02:00:00+00:00,sulfur,,,428.7,11.1,14.6,3.5,10.0,57.6,126.0,0.8,10.0
2017-10-27 21:00:00+00:00,,,,159.1,3.3,3.6,0.2,5.0,19.4,205.0,9.1,5.0
2017-11-05 21:00:00+00:00,coke,burning,industrial,308.6,9.4,12.5,3.0,11.0,49.8,132.0,0.7,11.0
2017-11-05 21:00:00+00:00,burning,industrial,,308.6,9.4,12.5,3.0,11.0,49.8,132.0,0.7,11.0
2017-11-06 01:00:00+00:00,egg,sulfur,,296.0,10.5,10.9,0.4,16.0,20.0,199.0,4.1,16.0
2017-11-15 15:00:00+00:00,,,,219.4,9.9,13.5,3.6,15.0,39.5,182.0,2.3,15.0
2017-11-18 10:00:00+00:00,chemical,,,1165.0,18.4,20.1,1.6,6.0,31.7,162.0,2.0,6.0
2017-11-19 11:00:00+00:00,egg,,,183.6,4.2,5.2,1.0,1.0,27.4,295.0,9.1,1.0
2017-11-21 00:00:00+00:00,sulfur,,,169.0,8.5,8.8,0.2,5.0,14.2,204.0,7.2,5.0
2017-11-21 05:00:00+00:00,sulfur,woodsmoke,,226.2,10.0,10.5,0.4,14.0,27.0,148.0,2.2,14.0
2017-11-25 01:00:00+00:00,egg,sulfur,industrial,1624.6,27.2,28.3,1.1,26.0,14.1,195.0,4.3,26.0
2017-11-25 06:00:00+00:00,egg,sulfur,,1003.8,31.1,35.6,4.5,26.0,15.0,193.0,5.4,26.0
2017-11-28 23:00:00+00:00,egg,sulfur,,195.8,16.3,17.1,0.7,6.0,14.3,201.0,4.8,6.0
2017-11-29 03:00:00+00:00,smoke,sulfur,,294.3,10.6,10.8,0.2,13.0,13.1,203.0,4.8,13.0
2017-11-30 15:00:00+00:00,coke,industrial,,415.9,16.2,24.5,8.2,14.0,23.5,163.0,2.6,14.0
2017-12-02 01:00:00+00:00,woodsmoke,,,291.4,17.6,18.7,1.0,17.0,19.3,81.0,0.8,17.0
