DateTime,smell_1,smell_2,smell_3,3.feed_28.H2S_PPM,3.feed_28.SO2_PPM,3.feed_28.SIGTHETA_DEG,3.feed_28.SONICWD_DEG,3.feed_28.SONICWS_MPH,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3,3.feed_3508.PM2_5
2021-09-17 05:00:00+00:00,industrial,,,0.0,0.001,32.5,21.0,1.8,10.0,8.0,8.0
2021-09-18 16:00:00+00:00,,,,0.002,0.004,54.6,122.0,2.9,16.0,9.0,9.0
2021-09-23 13:00:00+00:00,egg,,,0.0,0.003,18.5,232.0,8.2,-1.0,0.0,0.0
2021-11-04 18:00:00+00:00,,,,0.0,0.0,35.0,0.0,3.4,4.0,4.0,4.0
2021-11-07 20:00:00+00:00,,,,0.0,0.0,31.3,266.0,5.4,4.0,10.0,10.0
2021-11-09 16:00:00+00:00,,,,0.01,0.011,17.9,223.0,6.3,24.0,11.0,11.0
2021-11-13 01:00:00+00:00,industrial,chemical,,0.004,0.002,23.7,185.0,3.7,10.0,10.0,10.0
2021-11-18 02:00:00+00:00,smoke,industrial,,0.029,0.048,22.9,227.0,2.3,71.0,40.0,40.0
2021-11-22 23:00:00+00:00,industrial,,,0.0,0.0,16.7,314.0,6.8,4.0,3.0,3.0
2021-12-25 01:00:00+00:00,industrial,,,0.006,0.005,19.0,184.0,7.1,18.0,8.0,8.0
2021-12-28 02:00:00+00:00,sulfur,industrial,,0.013,0.007,18.6,226.0,4.7,50.0,30.0,30.0
2021-12-30 19:00:00+00:00,,,,0.007,0.002,52.1,244.0,2.4,23.0,20.0,20.0
2022-02-15 19:00:00+00:00,,,,0.003,0.005,70.1,72.0,2.6,20.0,18.0,18.0
2022-02-16 14:00:00+00:00,tar,burning,industrial,0.01,0.024,15.7,189.0,4.5,67.0,73.0,73.0
2022-02-16 15:00:00+00:00,egg,sulfur,,0.012,0.034,15.2,201.0,5.9,75.0,68.0,68.0
2022-02-16 17:00:00+00:00,,,,0.005,0.009,18.5,210.0,10.8,35.0,27.0,27.0
2022-03-05 16:00:00+00:00,industrial,,,0.0,0.0,23.0,84.0,3.9,14.0,11.0,11.0
2022-03-07 16:00:00+00:00,industrial,sulfur,,0.001,0.002,16.0,227.0,10.6,6.0,4.0,4.0
2022-03-14 17:00:00+00:00,,,,-1.0,-1.0,18.0,214.0,8.6,-1.0,-1.0,-1.0
